Region;Cluster;Country Name;Country Code;Log GDP pc (Constant 2021 international $, 2023);Governance score (-2,5 to 2,5, 2023);Human capital index plus  (HCI+): overall score (0-325, 2025);Gross capital formation (% of GDP, 2023);Trade (% of GDP, (2023);Total natural resources rents (% of GDP, 2021);Manufacturing, value added (% of GDP, 2023);Services, value added (% of GDP, 2023)
Western Europe;W. Europe;Austria;AUT;11,07498311;1,284584582;252,1193688;26,0041364;115,1529148;0,117855774;15,94139153;62,5799869
Western Europe;W. Europe;Belgium;BEL;11,05240317;1,094508037;246,0074152;25,31955523;165,8469465;0,044891429;11,96305366;70,25664854
Eastern Europe;E. Europe;Bulgaria;BGR;10,40649725;0,173546501;226,2343878;19,78775263;119,899506;0,917744336;;62,43209677
Eastern Europe;E. Europe;Croatia;HRV;10,62910684;0,511090887;239,8695957;24,66593164;107,278314;0,681198197;12,22469612;59,82638529
Middle East;Middle East;Cyprus;CYP;10,84843817;0,643490538;257,1839005;21,47251986;190,7407884;0,012764565;4,642738074;76,22187138
Eastern Europe;E. Europe;Czechia;CZE;10,76971393;1,06206738;249,6722293;28,21892109;131,8925983;0,394999591;20,43306128;59,69759735
Western Europe;W. Europe;Denmark;DNK;11,14734268;1,775950829;265,1787743;23,64461978;129,6253374;0,338664386;16,35427358;63,90795153
Eastern Europe;E. Europe;Estonia;EST;10,62834211;1,256347358;262,15863;25,24151239;154,5926171;1,721225984;11,41211806;65,13566523
Western Europe;W. Europe;Finland;FIN;10,93757694;1,673156867;256,7910879;22,9633349;85,56339061;0,448312841;14,46079869;61,77358822
Western Europe;W. Europe;France;FRA;10,90221916;1,026970615;251,2444492;22,92787493;70,62614506;0,032536637;9,76870497;70,21190384
Western Europe;W. Europe;Germany;DEU;11,05151476;1,317690114;257,3546094;21,99428343;81,96254838;0,077084899;18,94025326;63,61544897
Western Europe;W. Europe;Greece;GRC;10,51054602;0,381642523;221,9455483;16,16828258;92,47108829;0,087521945;8,947903331;68,66541163
Eastern Europe;E. Europe;Hungary;HUN;10,60493159;0,368179229;235,9341262;26,03189463;158,3857475;0,402362636;17,11473553;58,2753662
Western Europe;W. Europe;Iceland;ISL;11,12900259;1,462049007;266,6612149;25,15121177;87,40494191;0,000106968;8,762856153;65,37691096
Western Europe;W. Europe;Ireland;IRL;11,67727082;1,489124904;269,522887;26,65828039;239,6496276;0,100988231;29,80455262;60,29833734
Western Europe;W. Europe;Italy;ITA;10,87559752;0,649068018;224,8872903;23,07845644;65,10717788;0,112009125;15,47576015;64,3071085
Eastern Europe;E. Europe;Latvia;LVA;10,52615115;0,865145892;252,5758681;24,69162984;135,6429892;1,165119754;10,88175096;63,86003152
Eastern Europe;E. Europe;Lithuania;LTU;10,73986258;1,041688253;258,1780068;21,93417152;149,041909;0,28612663;14,5770128;63,08990704
Western Europe;W. Europe;Luxembourg;LUX;11,77566597;1,70150582;239,8636948;16,42591098;402,5669682;0,004751368;4,051330401;81,81472383
Western Europe;W. Europe;Malta;MLT;11,00904889;0,61142409;254,5650523;19,83812981;221,0618355;0;5,846418092;81,72894659
Western Europe;W. Europe;Netherlands;NLD;11,15908834;1,523441603;270,6276278;20,08050409;165,0304295;0,340536679;10,47153075;70,05417409
Western Europe;W. Europe;Norway;NOR;11,40851381;1,669178943;266,0069458;24,2545661;80,36384564;10,04827639;6,047563108;49,95819905
Eastern Europe;E. Europe;Poland;POL;10,68448;0,568634669;259,0938638;17,66845061;110,024935;1,030243808;17,45786722;58,20112823
